"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","participant","study","session","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order"
"vsl-grid-attention-check","35","89914","0.0-5.0-7.0-0.2-0.2","","162.09999999403954","[[0,""img/square.png"",0],[""img/square.png"",""img/attention.png"",""img/square.png""],[""img/square.png"",""img/square.png"",0]]","","","","","","","","32","","","","","","",""
"html-keyboard-response","36","90916","0.0-5.0-7.0-1.0","","null"," ","","","","","","","","null","","","","","","",""
"vsl-grid-attention-check","37","91227","0.0-5.0-9.0-0.0-0.0","","307.7999999821186","[[0,""img/square.png"",""img/square.png""],[""img/square.png"",""img/attention.png"",""img/square.png""],[0,0,""img/square.png""]]","","","","","","","","32","","","","","","",""
"html-keyboard-response","38","92229","0.0-5.0-9.0-1.0","","null"," ","","","","","","","","null","","","","","","",""
"html-keyboard-response","39","93231","0.0-6.0-0.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","","","","","","","","null","","","","","","",""
"html-keyboard-response","40","94232","0.0-6.0-1.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","","","","","","","","null","","","","","","",""
"html-keyboard-response","41","99022","0.0-7.0","","4788.800000011921","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","","","","","","","","32","","","","","","",""
"vsl-grid-scene-snap","42","101024","0.0-8.0-0.0-0.0-0.0","","","[[0,0,0],[0,0,""img/obj1.png""],[0,0,""img/obj4.png""]]","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","43","104025","0.0-8.0-0.0-0.0-1.0","","","[[""img/obj10.png"",0,0],[""img/obj6.png"",0,0],[0,0,0]]","","","","","","","","","","","","","","",""
"html-keyboard-response","44","105883","0.0-8.0-0.0-1.0","","856.0999999940395","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","","","","50","test","2","1","1,1,1,3,2,2","true","",""
"vsl-grid-scene-snap","45","108885","0.0-8.0-1.0-0.0-0.0","","","[[""img/obj10.png"",0,0],[""img/obj6.png"",0,0],[0,0,0]]","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","46","111888","0.0-8.0-1.0-0.0-1.0","","","[[""img/obj9.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","","","","","","","","","",""
"html-keyboard-response","47","114826","0.0-8.0-1.0-1.0","","1936.4000000059605","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","","","","50","test","1","0","1,1,1,1,1,1","false","",""
"survey-text","48","121692","0.0-9.0","","5858.4000000059605","","","{""Q0"":""a""}","","","","","","","","","","","","",""
"survey-text","49","122547","0.0-10.0","","852.2999999821186","","","{""Q0"":""aa""}","","","","","","","","","","","","",""
"survey-text","50","123379","0.0-11.0","","830","","","{""Q0"":""aaa""}","","","","","","","","","","","","",""
"survey-text","51","124550","0.0-12.0","","1168.0999999940395","","","{""Q0"":""aaaa""}","","","","","","","","","","","","img/obj10.png,img/obj6.png,img/obj4.png,img/obj9.png,img/obj5.png,img/obj7.png,img/obj1.png,img/obj2.png,img/obj12.png,img/obj3.png,img/obj8.png,img/obj11.png","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
"fullscreen","52","125560","0.0-13.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","53","146610","0.0-14.0","","21049.5","<p style=""text-align: justify; margin-right: 15%; margin-left: 15%"">  This is the end of the experiment. <br><br>Thank you for your participation! <br><br>If you would like any additional information, please email the experimenter at szabo_beata-tunde@phd.ceu.edu <br><br>Please press the button bellow to be redirected to Prolific to collect your credits. <br>","0","","","","","","","","","","","","","",""
