"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","correct"
"vsl-grid-attention-check","16","48970","0.0-5.0-1.0-0.1-0.1","","null","[[""img/square.png"",0,""img/square.png""],[0,""img/attention.png"",""img/square.png""],[""img/square.png"",0,""img/square.png""]]","","","","","null","","","",""
"vsl-grid-attention-check","17","49511","0.0-5.0-1.0-0.2-0.2","","536.5999999940395","[[""img/square.png"",""img/square.png"",""img/square.png""],[0,""img/attention.png"",0],[0,""img/square.png"",""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","18","50513","0.0-5.0-1.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","19","53517","0.0-5.0-3.0-0.0-0.0","","null","[[""img/square.png"",0,""img/square.png""],[""img/square.png"",""img/attention.png"",0],[""img/square.png"",0,""img/square.png""]]","","","","","null","","","",""
"vsl-grid-attention-check","20","54070","0.0-5.0-3.0-0.1-0.1","","550.1000000238419","[[""img/square.png"",""img/square.png"",0],[""img/square.png"",""img/attention.png"",0],[""img/square.png"",""img/square.png"",0]]","","","","","32","","","",""
"html-keyboard-response","21","55071","0.0-5.0-3.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","22","56150","0.0-5.0-5.0-0.0-0.0","","1075.7000000178814","[[0,""img/square.png"",0],[0,""img/attention.png"",""img/square.png""],[""img/square.png"",""img/square.png"",""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","23","57151","0.0-5.0-5.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-scene-snap","24","59153","0.0-5.0-6.0-0.0","","","[[""img/obj5.png"",""img/obj8.png"",""img/obj6.png""],[""img/obj2.png"",""img/obj11.png"",0],[0,0,""img/obj10.png""]]","","","1,1,1,2,1,3,2,2,6","8","","","","",""
"vsl-grid-scene-snap","25","62153","0.0-5.0-6.0-1.0","","","[[""img/obj9.png"",""img/obj8.png"",""img/obj6.png""],[""img/obj3.png"",""img/obj11.png"",0],[0,0,""img/obj10.png""]]","","","1,1,2,2,1,3,2,2,6","9","","","","",""
"vsl-grid-scene-snap","26","65155","0.0-5.0-6.0-2.0","","","[[""img/obj9.png"",""img/obj1.png"",""img/obj12.png""],[""img/obj3.png"",""img/obj7.png"",0],[""img/obj4.png"",0,0]]","","","1,1,2,2,1,4,2,2,5","7","","","","",""
"vsl-grid-scene-snap","27","68156","0.0-5.0-6.0-3.0","","","[[""img/obj5.png"",""img/obj8.png"",""img/obj6.png""],[""img/obj2.png"",0,""img/obj7.png""],[0,""img/obj4.png"",0]]","","","1,1,1,2,1,3,3,2,5","0","","","","",""
"vsl-grid-scene-snap","28","71158","0.0-5.0-6.0-4.0","","","[[""img/obj5.png"",""img/obj1.png"",""img/obj12.png""],[""img/obj2.png"",0,""img/obj7.png""],[0,""img/obj4.png"",0]]","","","1,1,1,2,1,4,3,2,5","2","","","","",""
"vsl-grid-scene-snap","29","74160","0.0-5.0-6.0-5.0","","","[[""img/obj9.png"",""img/obj8.png"",""img/obj6.png""],[""img/obj3.png"",""img/obj7.png"",0],[""img/obj4.png"",0,0]]","","","1,1,2,2,1,3,2,2,5","5","","","","",""
"vsl-grid-scene-snap","30","77163","0.0-5.0-6.0-6.0","","","[[""img/obj9.png"",""img/obj8.png"",""img/obj6.png""],[""img/obj3.png"",0,""img/obj7.png""],[0,""img/obj4.png"",0]]","","","1,1,2,2,1,3,3,2,5","1","","","","",""
"vsl-grid-scene-snap","31","80165","0.0-5.0-6.0-7.0","","","[[""img/obj5.png"",""img/obj1.png"",""img/obj12.png""],[""img/obj2.png"",""img/obj7.png"",0],[""img/obj4.png"",0,0]]","","","1,1,1,2,1,4,2,2,5","6","","","","",""
"vsl-grid-scene-snap","32","83167","0.0-5.0-6.0-8.0","","","[[""img/obj5.png"",""img/obj8.png"",""img/obj6.png""],[""img/obj2.png"",""img/obj7.png"",0],[""img/obj4.png"",0,0]]","","","1,1,1,2,1,3,2,2,5","4","","","","",""
"vsl-grid-scene-snap","33","86169","0.0-5.0-6.0-9.0","","","[[""img/obj9.png"",""img/obj1.png"",""img/obj12.png""],[""img/obj3.png"",0,""img/obj7.png""],[0,""img/obj4.png"",0]]","","","1,1,2,2,1,4,3,2,5","3","","","","",""
"vsl-grid-attention-check","34","90174","0.0-5.0-7.0-0.0-0.0","","null","[[""img/square.png"",""img/square.png"",0],[""img/square.png"",""img/attention.png"",""img/square.png""],[""img/square.png"",0,0]]","","","","","null","","","",""
"vsl-grid-attention-check","35","92006","0.0-5.0-7.0-0.1-0.1","","1829.0999999940395","[[""img/square.png"",""img/square.png"",""img/square.png""],[0,""img/attention.png"",0],[""img/square.png"",0,""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","36","93007","0.0-5.0-7.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","37","93910","0.0-5.0-9.0-0.0-0.0","","900.0999999940395","[[""img/square.png"",""img/square.png"",0],[""img/square.png"",""img/attention.png"",""img/square.png""],[""img/square.png"",0,0]]","","","","","32","","","",""
"html-keyboard-response","38","94910","0.0-5.0-9.0-1.0","","null"," ","","","","","null","","","",""
"html-keyboard-response","39","95912","0.0-6.0-0.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","","","","","null","","","",""
"html-keyboard-response","40","96914","0.0-6.0-1.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","","","","","null","","","",""
"html-keyboard-response","41","104345","0.0-7.0","","7429.399999976158","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","","","","","32","","","",""
"vsl-grid-scene-snap","42","106347","0.0-8.0-0.0-0.0-0.0","","","[[""img/obj5.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","","","",""
"vsl-grid-scene-snap","43","109349","0.0-8.0-0.0-0.0-1.0","","","[[0,0,0],[0,0,""img/obj8.png""],[0,0,""img/obj9.png""]]","","","","","","","","",""
"html-keyboard-response","44","113334","0.0-8.0-0.0-1.0","","2981.7999999821186","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","50","test","1","1","false"
"vsl-grid-scene-snap","45","116335","0.0-8.0-1.0-0.0-0.0","","","[[""img/obj5.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","","","",""
"vsl-grid-scene-snap","46","119339","0.0-8.0-1.0-0.0-1.0","","","[[""img/obj3.png"",0,0],[""img/obj6.png"",0,0],[0,0,0]]","","","","","","","","",""
"html-keyboard-response","47","124582","0.0-8.0-1.0-1.0","","4242.100000023842","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","50","test","1","0","false"
"survey-text","48","135361","0.0-9.0","","9771.200000017881","","","{""Q0"":""a""}","","","","","","",""
"survey-text","49","136171","0.0-10.0","","806.9000000059605","","","{""Q0"":""aa""}","","","","","","",""
"survey-text","50","137104","0.0-11.0","","931.5999999940395","","","{""Q0"":""aaa""}","","","","","","",""
"survey-text","51","138386","0.0-12.0","","1279.2000000178814","","","{""Q0"":""aaaa""}","","","","","","",""
"fullscreen","52","139386","0.0-13.0","true","","","","","","","","","","",""
"html-button-response","53","140614","0.0-14.0","","1226.699999988079","<p style=""text-align: justify; margin-right: 15%; margin-left: 15%"">  This is the end of the experiment. <br><br>Thank you for your participation! <br><br>If you would like any additional information, please email the experimenter at szabo_beata-tunde@phd.ceu.edu <br><br>Please press the button bellow to be redirected to Prolific to collect your credits. <br>","0","","","","","","","",""
