"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","correct"
"html-keyboard-response","10","23763","0.0-5.0-3.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","11","24250","0.0-5.0-5.0-0.0-0.0","","485.5","[[0,0,""img/square.png""],[""img/square.png"",""img/attention.png"",""img/square.png""],[""img/square.png"",0,""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","12","25263","0.0-5.0-5.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-scene-snap","13","27279","0.0-5.0-6.0-0.0","","","[[0,0,""img/obj8.png""],[0,""img/obj12.png"",""img/obj10.png""],[""img/obj3.png"",""img/obj9.png"",""img/obj6.png""]]","","","3,1,2,1,3,3,2,2,6","105","","","","",""
"vsl-grid-scene-snap","14","30288","0.0-5.0-6.0-1.0","","","[[0,""img/obj5.png"",""img/obj1.png""],[""img/obj4.png"",0,""img/obj11.png""],[""img/obj3.png"",""img/obj9.png"",0]]","","","3,1,1,1,3,3,2,1,5","96","","","","",""
"vsl-grid-attention-check","15","34291","0.0-5.0-7.0-0.0-0.0","","null","[[""img/square.png"",""img/square.png"",""img/square.png""],[0,""img/attention.png"",0],[0,""img/square.png"",""img/square.png""]]","","","","","null","","","",""
"vsl-grid-attention-check","16","34747","0.0-5.0-7.0-0.1-0.1","","453.69999998807907","[[""img/square.png"",0,""img/square.png""],[""img/square.png"",""img/attention.png"",0],[""img/square.png"",0,""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","17","35749","0.0-5.0-7.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","18","36509","0.0-5.0-9.0-0.0-0.0","","757.0999999940395","[[""img/square.png"",0,""img/square.png""],[0,""img/attention.png"",""img/square.png""],[""img/square.png"",""img/square.png"",0]]","","","","","32","","","",""
"html-keyboard-response","19","37511","0.0-5.0-9.0-1.0","","null"," ","","","","","null","","","",""
"html-keyboard-response","20","38513","0.0-6.0-0.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","","","","","null","","","",""
"html-keyboard-response","21","39515","0.0-6.0-1.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","","","","","null","","","",""
"html-keyboard-response","22","45116","0.0-7.0","","5600.0999999940395","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","","","","","32","","","",""
"vsl-grid-scene-snap","23","47117","0.0-8.0-0.0-0.0-0.0","","","[[0,0,0],[0,0,""img/obj3.png""],[0,0,""img/obj8.png""]]","","","","","","","","",""
"vsl-grid-scene-snap","24","50119","0.0-8.0-0.0-0.0-1.0","","","[[""img/obj1.png"",0,0],[""img/obj11.png"",0,0],[0,0,0]]","","","","","","","","",""
"html-keyboard-response","25","52938","0.0-8.0-0.0-1.0","","1818.199999988079","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","49","test","2","1","false"
"vsl-grid-scene-snap","26","55941","0.0-8.0-1.0-0.0-0.0","","","[[""img/obj10.png"",0,0],[""img/obj9.png"",0,0],[0,0,0]]","","","","","","","","",""
"vsl-grid-scene-snap","27","58943","0.0-8.0-1.0-0.0-1.0","","","[[""img/obj1.png"",0,0],[""img/obj11.png"",0,0],[0,0,0]]","","","","","","","","",""
"html-keyboard-response","28","62795","0.0-8.0-1.0-1.0","","2850.5","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","50","test","2","0","true"
"survey-text","29","71257","0.0-9.0","","7457.5","","","{""Q0"":""a""}","","","","","","",""
"survey-text","30","71977","0.0-10.0","","716.9000000059605","","","{""Q0"":""aa""}","","","","","","",""
"survey-text","31","72696","0.0-11.0","","717.2999999821186","","","{""Q0"":""aaa""}","","","","","","",""
"survey-text","32","73686","0.0-12.0","","987.7999999821186","","","{""Q0"":""aaaa""}","","","","","","",""
"fullscreen","33","74688","0.0-13.0","true","","","","","","","","","","",""
"html-button-response","34","79075","0.0-14.0","","4385.5","<p style=""text-align: justify; margin-right: 15%; margin-left: 15%"">  This is the end of the experiment. <br><br>Thank you for your participation! <br><br>If you would like any additional information, please email the experimenter at szabo_beata-tunde@phd.ceu.edu <br><br>Please press the button bellow to be redirected to Prolific to collect your credits. <br>","0","","","","","","","",""
