"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow"
"vsl-grid-scene-snap","20","93958","0.0-5.0-0.0-15.0","","","[[""img/obj12.png"",""img/obj7.png"",0],[0,""img/obj11.png"",""img/obj2.png""],[""img/obj10.png"",0,""img/obj6.png""]]","","","3,2,1,1,1,4,2,2,5","110"
"vsl-grid-scene-snap","21","96962","0.0-5.0-0.0-16.0","","","[[""img/obj2.png"",""img/obj4.png"",""img/obj3.png""],[""img/obj6.png"",0,""img/obj11.png""],[0,""img/obj10.png"",0]]","","","1,1,1,2,1,3,3,2,5","0"
"vsl-grid-scene-snap","22","99975","0.0-5.0-0.0-17.0","","","[[""img/obj1.png"",""img/obj12.png"",""img/obj7.png""],[""img/obj5.png"",0,""img/obj11.png""],[0,""img/obj10.png"",0]]","","","1,1,2,2,1,4,3,2,5","3"
"vsl-grid-scene-snap","23","103002","0.0-5.0-0.0-18.0","","","[[0,""img/obj4.png"",""img/obj3.png""],[""img/obj9.png"",0,""img/obj1.png""],[0,""img/obj8.png"",""img/obj5.png""]]","","","3,2,2,2,1,3,1,2,6","125"
"vsl-grid-scene-snap","24","106018","0.0-5.0-0.0-19.0","","","[[0,""img/obj11.png"",""img/obj1.png""],[""img/obj10.png"",0,""img/obj5.png""],[""img/obj4.png"",""img/obj3.png"",0]]","","","3,1,2,1,3,3,2,1,5","97"
"vsl-grid-scene-snap","25","109021","0.0-5.0-0.0-20.0","","","[[""img/obj9.png"",0,""img/obj1.png""],[0,""img/obj8.png"",""img/obj5.png""],[0,""img/obj12.png"",""img/obj7.png""]]","","","3,1,2,2,3,4,1,1,6","95"
"vsl-grid-scene-snap","26","112042","0.0-5.0-0.0-21.0","","","[[0,0,""img/obj11.png""],[0,""img/obj10.png"",""img/obj2.png""],[""img/obj4.png"",""img/obj3.png"",""img/obj6.png""]]","","","3,2,1,1,3,3,3,1,5","140"
"vsl-grid-scene-snap","27","115056","0.0-5.0-0.0-22.0","","","[[""img/obj12.png"",""img/obj7.png"",""img/obj2.png""],[0,""img/obj9.png"",""img/obj6.png""],[0,0,""img/obj8.png""]]","","","3,1,1,1,1,4,2,2,6","82"
"vsl-grid-scene-snap","28","118067","0.0-5.0-0.0-23.0","","","[[""img/obj2.png"",0,""img/obj11.png""],[""img/obj6.png"",""img/obj10.png"",0],[0,""img/obj12.png"",""img/obj7.png""]]","","","1,1,1,2,3,4,3,1,5","14"
"vsl-grid-scene-snap","29","121087","0.0-5.0-0.0-24.0","","","[[""img/obj1.png"",""img/obj4.png"",""img/obj3.png""],[""img/obj5.png"",""img/obj11.png"",0],[""img/obj10.png"",0,0]]","","","1,1,2,2,1,3,2,2,5","5"
"vsl-grid-scene-snap","30","124103","0.0-5.0-0.0-25.0","","","[[""img/obj9.png"",""img/obj12.png"",""img/obj7.png""],[""img/obj2.png"",""img/obj8.png"",0],[""img/obj6.png"",0,0]]","","","1,2,1,2,1,4,1,1,6","42"
"vsl-grid-scene-snap","31","127106","0.0-5.0-0.0-26.0","","","[[""img/obj1.png"",0,""img/obj11.png""],[""img/obj5.png"",""img/obj10.png"",0],[""img/obj4.png"",""img/obj3.png"",0]]","","","1,1,2,1,3,3,3,1,5","25"
"vsl-grid-scene-snap","32","130124","0.0-5.0-0.0-27.0","","","[[""img/obj9.png"",0,""img/obj2.png""],[0,""img/obj8.png"",""img/obj6.png""],[0,""img/obj4.png"",""img/obj3.png""]]","","","3,1,1,2,3,3,1,1,6","92"
"vsl-grid-scene-snap","33","133136","0.0-5.0-0.0-28.0","","","[[0,0,""img/obj1.png""],[0,""img/obj11.png"",""img/obj5.png""],[""img/obj10.png"",""img/obj12.png"",""img/obj7.png""]]","","","3,1,2,2,3,4,2,2,5","87"
"vsl-grid-scene-snap","34","136149","0.0-5.0-0.0-29.0","","","[[0,""img/obj11.png"",""img/obj2.png""],[""img/obj10.png"",0,""img/obj6.png""],[""img/obj4.png"",""img/obj3.png"",0]]","","","3,1,1,1,3,3,2,1,5","96"
"vsl-grid-scene-snap","35","139180","0.0-5.0-0.0-30.0","","","[[0,""img/obj4.png"",""img/obj3.png""],[""img/obj2.png"",""img/obj9.png"",0],[""img/obj6.png"",0,""img/obj8.png""]]","","","1,2,1,2,1,3,2,2,6","44"
"vsl-grid-scene-snap","36","142199","0.0-5.0-0.0-31.0","","","[[0,""img/obj11.png"",""img/obj2.png""],[""img/obj10.png"",0,""img/obj6.png""],[0,""img/obj12.png"",""img/obj7.png""]]","","","3,1,1,2,3,4,2,1,5","90"
"vsl-grid-scene-snap","37","145230","0.0-5.0-0.0-32.0","","","[[""img/obj2.png"",""img/obj12.png"",""img/obj7.png""],[""img/obj6.png"",""img/obj11.png"",0],[""img/obj10.png"",0,0]]","","","1,1,1,2,1,4,2,2,5","6"
"vsl-grid-scene-snap","38","148245","0.0-5.0-0.0-33.0","","","[[""img/obj1.png"",""img/obj9.png"",0],[""img/obj5.png"",0,""img/obj8.png""],[""img/obj12.png"",""img/obj7.png"",0]]","","","1,1,2,1,3,4,2,1,6","31"
"vsl-grid-scene-snap","39","151265","0.0-5.0-0.0-34.0","","","[[""img/obj2.png"",0,""img/obj11.png""],[""img/obj6.png"",""img/obj10.png"",0],[""img/obj4.png"",""img/obj3.png"",0]]","","","1,1,1,1,3,3,3,1,5","24"
"vsl-grid-scene-snap","40","154293","0.0-5.0-0.0-35.0","","","[[""img/obj2.png"",0,0],[""img/obj6.png"",""img/obj11.png"",0],[""img/obj10.png"",""img/obj4.png"",""img/obj3.png""]]","","","1,1,1,2,3,3,2,2,5","16"
"vsl-grid-scene-snap","41","157308","0.0-5.0-0.0-36.0","","","[[0,""img/obj9.png"",0],[""img/obj2.png"",0,""img/obj8.png""],[""img/obj6.png"",""img/obj4.png"",""img/obj3.png""]]","","","1,2,1,2,3,3,2,1,6","52"
"vsl-grid-scene-snap","42","160316","0.0-5.0-0.0-37.0","","","[[""img/obj1.png"",""img/obj4.png"",""img/obj3.png""],[""img/obj5.png"",0,""img/obj11.png""],[0,""img/obj10.png"",0]]","","","1,1,2,2,1,3,3,2,5","1"
"vsl-grid-scene-snap","43","163319","0.0-5.0-0.0-38.0","","","[[""img/obj12.png"",""img/obj7.png"",0],[""img/obj9.png"",0,""img/obj1.png""],[0,""img/obj8.png"",""img/obj5.png""]]","","","3,2,2,1,1,4,1,2,6","115"
"vsl-grid-scene-snap","44","166341","0.0-5.0-0.0-39.0","","","[[""img/obj4.png"",""img/obj3.png"",0],[""img/obj1.png"",""img/obj9.png"",0],[""img/obj5.png"",0,""img/obj8.png""]]","","","1,2,2,1,1,3,2,2,6","69"
"vsl-grid-scene-snap","45","169364","0.0-5.0-0.0-40.0","","","[[0,0,""img/obj11.png""],[0,""img/obj10.png"",""img/obj1.png""],[""img/obj4.png"",""img/obj3.png"",""img/obj5.png""]]","","","3,2,2,1,3,3,3,1,5","141"
"vsl-grid-scene-snap","46","172380","0.0-5.0-0.0-41.0","","","[[0,""img/obj4.png"",""img/obj3.png""],[0,""img/obj11.png"",""img/obj2.png""],[""img/obj10.png"",0,""img/obj6.png""]]","","","3,2,1,2,1,3,2,2,5","120"
"vsl-grid-scene-snap","47","175394","0.0-5.0-0.0-42.0","","","[[0,0,""img/obj2.png""],[0,""img/obj9.png"",""img/obj6.png""],[""img/obj12.png"",""img/obj7.png"",""img/obj8.png""]]","","","3,1,1,1,3,4,2,2,6","106"
"vsl-grid-scene-snap","48","178722","0.0-5.0-0.0-43.0","","","[[""img/obj2.png"",0,0],[""img/obj6.png"",""img/obj9.png"",0],[""img/obj4.png"",""img/obj3.png"",""img/obj8.png""]]","","","1,1,1,1,3,3,2,2,6","32"
