"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response"
"vsl-grid-scene-snap","10","101774","0.0-5.0-0.0-5.0","","","[[0,0,0,0,0],[0,0,""img/obj9.png"",""img/obj8.png"",0],[0,""img/obj10.png"",""img/obj4.png"",0,0],[0,""img/obj1.png"",""img/obj7.png"",0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","11","104776","0.0-5.0-0.0-6.0","","","[[0,0,0,0,0],[""img/obj12.png"",0,0,0,0],[0,""img/obj3.png"",""img/obj2.png"",0,0],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,0,""img/obj6.png"",0,0]]",""
"vsl-grid-scene-snap","12","107778","0.0-5.0-0.0-7.0","","","[[0,0,0,""img/obj8.png"",""img/obj9.png""],[0,0,""img/obj4.png"",""img/obj10.png"",0],[0,""img/obj1.png"",0,0,""img/obj7.png""],[0,0,0,0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","13","110780","0.0-5.0-0.0-8.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj12.png"",0,0,""img/obj9.png""],[0,0,""img/obj3.png"",""img/obj10.png"",0],[0,0,0,""img/obj11.png"",""img/obj7.png""]]",""
"vsl-grid-scene-snap","14","113783","0.0-5.0-0.0-9.0","","","[[0,0,""img/obj9.png"",0,0],[""img/obj12.png"",""img/obj10.png"",0,0,0],[0,""img/obj3.png"",""img/obj7.png"",0,0],[0,0,""img/obj11.png"",0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","15","116785","0.0-5.0-0.0-10.0","","","[[0,""img/obj12.png"",0,0,0],[0,0,""img/obj3.png"",0,0],[0,0,""img/obj2.png"",""img/obj11.png"",0],[0,0,0,""img/obj5.png"",0],[0,0,""img/obj6.png"",0,0]]",""
"vsl-grid-scene-snap","16","119786","0.0-5.0-0.0-11.0","","","[[0,""img/obj2.png"",0,0,0],[0,0,""img/obj5.png"",0,0],[0,""img/obj6.png"",""img/obj8.png"",0,0],[0,""img/obj4.png"",0,0,0],[""img/obj1.png"",0,0,0,0]]",""
"vsl-grid-scene-snap","17","122788","0.0-5.0-0.0-12.0","","","[[0,0,0,0,""img/obj8.png""],[0,0,""img/obj9.png"",""img/obj4.png"",0],[0,""img/obj10.png"",""img/obj1.png"",0,0],[0,0,""img/obj7.png"",0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","18","125790","0.0-5.0-0.0-13.0","","","[[""img/obj12.png"",0,0,0,0],[0,""img/obj3.png"",""img/obj2.png"",0,0],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,0,""img/obj6.png"",0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","19","128792","0.0-5.0-0.0-14.0","","","[[0,0,0,0,0],[0,0,0,""img/obj8.png"",0],[0,""img/obj9.png"",""img/obj4.png"",0,0],[""img/obj10.png"",""img/obj1.png"",0,0,0],[0,""img/obj7.png"",0,0,0]]",""
"vsl-grid-scene-snap","20","131793","0.0-5.0-0.0-15.0","","","[[0,0,0,""img/obj2.png"",0],[0,0,0,0,""img/obj5.png""],[0,0,0,""img/obj6.png"",""img/obj8.png""],[0,0,0,""img/obj4.png"",0],[0,0,""img/obj1.png"",0,0]]",""
"vsl-grid-scene-snap","21","134795","0.0-5.0-0.0-16.0","","","[[0,0,0,""img/obj8.png"",0],[0,""img/obj9.png"",""img/obj4.png"",0,0],[""img/obj10.png"",""img/obj1.png"",0,0,0],[0,""img/obj7.png"",0,0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","22","137797","0.0-5.0-0.0-17.0","","","[[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj8.png"",0],[0,0,""img/obj4.png"",""img/obj3.png"",0],[0,""img/obj1.png"",0,0,""img/obj11.png""],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","23","140799","0.0-5.0-0.0-18.0","","","[[""img/obj2.png"",""img/obj12.png"",0,0,0],[0,""img/obj5.png"",""img/obj3.png"",0,0],[""img/obj6.png"",0,0,""img/obj11.png"",0],[0,0,0,0,0],[0,0,0,0,0]]",""
