"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard","scene_order"
"html-keyboard-response","24","42882","0.0-6.0","","7950","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two scenes will appear with one second of pause between them. Your task is to decide which of the two scenes looks more familiar based on the practice session you have just seen. After the second scene a dialog window will appear asking whether the first or the second scene was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first scene is more familiar. <br> Pressing 2 means that the second scene is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>"," ","","","","","","","","","",""
"vsl-grid-scene-snap","25","44891","0.0-7.0-0.0-0.0-0.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj7.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene-snap","26","47900","0.0-7.0-0.0-0.0-1.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj4.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"html-keyboard-response","27","50924","0.0-7.0-0.0-1.0","","null","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","null","test","1","0","0","1","0","false","","",""
"vsl-grid-scene-snap","28","53940","0.0-7.0-1.0-0.0-0.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj5.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene-snap","29","56969","0.0-7.0-1.0-0.0-1.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj3.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"html-keyboard-response","30","58345","0.0-7.0-1.0-1.0","","363","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","2","test","1","1","1","1","0","false","","",""
"survey-text","31","62130","0.0-8.0","","2767","","{""Q0"":""a\n""}","","","","","","","","","",""
"survey-text","32","62698","0.0-9.0","","566","","{""Q0"":""aa""}","","","","","","","","","",""
"survey-text","33","63600","0.0-10.0","","900","","{""Q0"":""aaa""}","","","","","","","","","",""
"survey-text","34","65043","0.0-11.0","","1442","","{""Q0"":""aaaa""}","","","","","","","","","",""
"fullscreen","35","66048","0.0-12.0","true","null","","","","","","","","","","","",""
"html-button-response","36","68517","0.0-13.0","","2468","<p style=""text-align: justify; margin-right: 15%; margin-left: 15%"">  This is the end of the experiment. <br><br>Thank you for your participation! <br><br>If you would like any additional information, please email the experimenter at szabo_beata-tunde@phd.ceu.edu <br><br>Please press the button bellow to be redirected to Prolific to collect your credits. <br>","0","test","","","","","","","5f5617ed36e91fa03cf1f021","[""img/obj7.png"",""img/obj5.png"",""img/obj11.png"",""img/obj9.png"",""img/obj10.png"",""img/obj6.png"",""img/obj12.png"",""img/obj8.png"",""img/obj4.png"",""img/obj2.png"",""img/obj3.png"",""img/obj1.png""]","[{""stimuli"":[[0,""img/obj2.png"",0,0,0],[""img/obj3.png"",""img/obj7.png"",0,0,0],[0,""img/obj1.png"",""img/obj5.png"",0,0],[0,0,0,""img/obj11.png"",0],[0,0,0,0,0]],""image_size"":[150,150],""line_px"":3,""post_trial_gap"":1000},{""stimuli"":[[0,0,""img/obj2.png"",0,0],[0,""img/obj3.png"",""img/obj7.png"",0,0],[0,0,""img/obj1.png"",""img/obj5.png"",0],[0,0,0,0,""img/obj11.png""],[0,0,0,0,0]],""image_size"":[150,150],""line_px"":3,""post_trial_gap"":1000}]"
