"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","image_switchboard","scene_order","participant","study","session","randomID","subject"
"vsl-grid-scene-snap","33","95813","0.0-5.0-0.0-28.0","","","[[0,0,0,""img/obj2.png"",0],[0,""img/obj11.png"",""img/obj8.png"",0,0],[""img/obj12.png"",""img/obj7.png"",0,0,0],[0,""img/obj5.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","34","98838","0.0-5.0-0.0-29.0","","","[[""img/obj10.png"",0,0,0,0],[0,""img/obj4.png"",""img/obj1.png"",0,0],[0,0,""img/obj6.png"",""img/obj9.png"",0],[0,0,""img/obj3.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","35","101861","0.0-5.0-0.0-30.0","","","[[""img/obj10.png"",0,0,""img/obj2.png"",0],[0,""img/obj4.png"",""img/obj8.png"",0,0],[0,""img/obj7.png"",""img/obj6.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","36","104884","0.0-5.0-0.0-31.0","","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj1.png"",""img/obj11.png"",0,0,0],[""img/obj12.png"",""img/obj9.png"",0,0,0],[""img/obj3.png"",""img/obj5.png"",0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","37","107905","0.0-5.0-0.0-32.0","","","[[0,0,""img/obj11.png"",0,0],[0,""img/obj12.png"",""img/obj10.png"",0,0],[0,0,""img/obj5.png"",""img/obj4.png"",0],[0,0,0,0,""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","38","110920","0.0-5.0-0.0-33.0","","","[[0,0,0,0,0],[0,0,0,""img/obj1.png"",0],[0,0,0,""img/obj2.png"",""img/obj9.png""],[0,0,""img/obj8.png"",""img/obj3.png"",0],[0,""img/obj7.png"",0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","39","113934","0.0-5.0-0.0-34.0","","","[[0,0,0,0,0],[""img/obj10.png"",""img/obj1.png"",0,0,0],[0,""img/obj4.png"",""img/obj9.png"",0,0],[0,""img/obj3.png"",""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","40","116948","0.0-5.0-0.0-35.0","","","[[0,0,0,0,0],[0,""img/obj1.png"",""img/obj11.png"",0,0],[0,""img/obj12.png"",""img/obj9.png"",0,0],[0,""img/obj3.png"",""img/obj5.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","41","119961","0.0-5.0-0.0-36.0","","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj10.png"",0,0,""img/obj2.png"",0],[0,""img/obj4.png"",""img/obj8.png"",0,0],[0,""img/obj7.png"",""img/obj6.png"",0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","42","122988","0.0-5.0-0.0-37.0","","","[[""img/obj1.png"",""img/obj11.png"",0,0,0],[""img/obj12.png"",""img/obj9.png"",0,0,0],[""img/obj3.png"",""img/obj5.png"",0,0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","43","125998","0.0-5.0-0.0-38.0","","","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",0],[0,""img/obj11.png"",""img/obj8.png"",0,0],[""img/obj12.png"",""img/obj7.png"",0,0,0],[0,""img/obj5.png"",0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","44","129006","0.0-5.0-0.0-39.0","","","[[0,""img/obj10.png"",""img/obj1.png"",0,0],[0,0,""img/obj4.png"",""img/obj9.png"",0],[0,0,""img/obj3.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","45","132023","0.0-5.0-0.0-40.0","","","[[0,0,""img/obj1.png"",""img/obj2.png"",0],[0,0,""img/obj8.png"",""img/obj9.png"",0],[0,""img/obj7.png"",""img/obj3.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","46","135041","0.0-5.0-0.0-41.0","","","[[0,0,""img/obj10.png"",0,0],[0,0,0,""img/obj4.png"",""img/obj2.png""],[0,0,0,""img/obj8.png"",""img/obj6.png""],[0,0,""img/obj7.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","47","138067","0.0-5.0-0.0-42.0","","","[[0,0,0,0,0],[0,0,""img/obj11.png"",0,0],[0,""img/obj12.png"",""img/obj2.png"",0,0],[0,""img/obj8.png"",""img/obj5.png"",0,0],[""img/obj7.png"",0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","48","141093","0.0-5.0-0.0-43.0","","","[[0,0,0,0,0],[0,0,0,0,""img/obj2.png""],[0,0,""img/obj1.png"",""img/obj8.png"",0],[0,0,""img/obj7.png"",""img/obj9.png"",0],[0,0,""img/obj3.png"",0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","49","144104","0.0-5.0-0.0-44.0","","","[[0,0,0,0,0],[0,""img/obj1.png"",""img/obj2.png"",0,0],[0,""img/obj8.png"",""img/obj9.png"",0,0],[""img/obj7.png"",""img/obj3.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","50","147124","0.0-5.0-0.0-45.0","","","[[0,0,""img/obj2.png"",0,0],[""img/obj10.png"",""img/obj8.png"",0,0,0],[""img/obj7.png"",""img/obj4.png"",0,0,0],[0,0,""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","51","150134","0.0-5.0-0.0-46.0","","","[[""img/obj10.png"",""img/obj11.png"",0,0,0],[""img/obj12.png"",""img/obj4.png"",0,0,0],[0,""img/obj5.png"",""img/obj6.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","52","153150","0.0-5.0-0.0-47.0","","","[[0,0,0,""img/obj1.png"",""img/obj11.png""],[0,0,0,""img/obj12.png"",""img/obj9.png""],[0,0,0,""img/obj3.png"",""img/obj5.png""],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-attention-check","53","157160","0.0-5.0-1.0-0.0-0.0","","null","[[0,0,0,0,0],[0,0,0,0,""img/square.png""],[0,""img/square.png"",""img/attention.png"",0,0],[0,0,0,""img/square.png"",0],[0,""img/square.png"",0,0,""img/square.png""]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","54","160178","0.0-5.0-1.0-0.1-0.1","","null","[[0,0,0,""img/square.png"",0],[""img/square.png"",0,0,0,""img/square.png""],[0,0,""img/attention.png"",""img/square.png"",0],[0,0,0,0,0],[0,""img/square.png"",0,0,0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","55","163195","0.0-5.0-1.0-0.2-0.2","","null","[[0,0,0,0,""img/square.png""],[0,0,0,""img/square.png"",0],[0,""img/square.png"",""img/attention.png"",0,0],[0,0,0,""img/square.png"",0],[0,0,0,""img/square.png"",0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","56","166208","0.0-5.0-1.0-0.3-0.3","","null","[[""img/square.png"",0,0,0,0],[0,0,""img/square.png"",0,0],[0,0,""img/attention.png"",""img/square.png"",0],[0,0,0,0,""img/square.png""],[0,0,0,""img/square.png"",0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","57","169218","0.0-5.0-1.0-0.4-0.4","","null","[[0,0,""img/square.png"",0,0],[0,""img/square.png"",""img/square.png"",0,0],[0,""img/square.png"",""img/attention.png"",0,0],[0,0,0,0,0],[0,0,""img/square.png"",0,0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","58","172222","0.0-5.0-1.0-0.5-0.5","","null","[[""img/square.png"",0,0,""img/square.png"",0],[""img/square.png"",0,0,""img/square.png"",0],[0,0,""img/attention.png"",0,0],[0,0,0,0,0],[0,0,0,0,""img/square.png""]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","59","175233","0.0-5.0-1.0-0.6-0.6","","null","[[0,0,0,0,0],[""img/square.png"",0,0,""img/square.png"",""img/square.png""],[0,0,""img/attention.png"",0,0],[0,0,0,0,""img/square.png""],[0,0,0,""img/square.png"",0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","60","178250","0.0-5.0-1.0-0.7-0.7","","null","[[0,0,""img/square.png"",0,0],[""img/square.png"",0,0,0,0],[0,""img/square.png"",""img/attention.png"",0,0],[0,0,0,0,0],[0,""img/square.png"",0,0,""img/square.png""]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","61","181255","0.0-5.0-1.0-0.8-0.8","","null","[[0,""img/square.png"",0,0,""img/square.png""],[0,0,0,0,0],[0,0,""img/attention.png"",""img/square.png"",0],[0,0,0,""img/square.png"",0],[""img/square.png"",0,0,0,0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","62","184259","0.0-5.0-1.0-0.9-0.9","","null","[[""img/square.png"",0,0,0,0],[""img/square.png"",0,0,0,""img/square.png""],[""img/square.png"",""img/square.png"",""img/attention.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","63","187267","0.0-5.0-1.0-0.10-0.10","","null","[[""img/square.png"",""img/square.png"",""img/square.png"",0,0],[0,0,0,0,0],[0,""img/square.png"",""img/attention.png"",0,0],[0,0,0,""img/square.png"",0],[0,0,0,0,0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","64","190271","0.0-5.0-1.0-0.11-0.11","","null","[[0,0,0,0,0],[""img/square.png"",""img/square.png"",0,""img/square.png"",0],[0,0,""img/attention.png"",""img/square.png"",0],[0,0,0,0,0],[0,0,""img/square.png"",0,0]]","","","null","","","","","","","","","","","","","",""
"vsl-grid-attention-check","65","192640","0.0-5.0-1.0-0.12-0.12","","2366.3999999910593","[[0,0,0,0,0],[0,0,""img/square.png"",0,0],[0,0,""img/attention.png"",0,""img/square.png""],[0,0,""img/square.png"",0,""img/square.png""],[0,0,0,""img/square.png"",0]]","","","32","","","","","","","","","","","","","",""
"html-keyboard-response","66","193644","0.0-5.0-1.0-1.0","","null"," ","","","null","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","67","195653","0.0-5.0-2.0-0.0","","","[[0,0,0,""img/obj11.png"",0],[0,0,""img/obj12.png"",""img/obj2.png"",0],[0,0,""img/obj8.png"",""img/obj5.png"",0],[0,""img/obj7.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","68","198677","0.0-5.0-2.0-1.0","","","[[0,0,""img/obj10.png"",""img/obj11.png"",0],[0,0,""img/obj12.png"",""img/obj4.png"",0],[0,0,0,""img/obj5.png"",""img/obj6.png""],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","69","201700","0.0-5.0-2.0-2.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj11.png"",""img/obj2.png"",0],[0,""img/obj12.png"",""img/obj8.png"",0,0],[0,""img/obj7.png"",""img/obj5.png"",0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","70","204716","0.0-5.0-2.0-3.0","","","[[0,0,0,0,0],[0,0,""img/obj1.png"",0,0],[0,0,""img/obj2.png"",""img/obj9.png"",0],[0,""img/obj8.png"",""img/obj3.png"",0,0],[""img/obj7.png"",0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","71","207734","0.0-5.0-2.0-4.0","","","[[0,""img/obj10.png"",""img/obj11.png"",0,0],[0,""img/obj12.png"",""img/obj4.png"",0,0],[0,0,""img/obj5.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","72","210749","0.0-5.0-2.0-5.0","","","[[0,0,0,0,0],[""img/obj10.png"",""img/obj11.png"",0,0,0],[""img/obj12.png"",""img/obj4.png"",0,0,0],[0,""img/obj5.png"",""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","73","213759","0.0-5.0-2.0-6.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj10.png"",""img/obj1.png"",0],[0,0,0,""img/obj4.png"",""img/obj9.png""],[0,0,0,""img/obj3.png"",""img/obj6.png""]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","74","216780","0.0-5.0-2.0-7.0","","","[[""img/obj10.png"",0,0,0,0],[0,""img/obj4.png"",""img/obj2.png"",0,0],[0,""img/obj8.png"",""img/obj6.png"",0,0],[""img/obj7.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","75","219803","0.0-5.0-2.0-8.0","","","[[0,""img/obj10.png"",0,0,0],[0,0,""img/obj4.png"",""img/obj1.png"",0],[0,0,0,""img/obj6.png"",""img/obj9.png""],[0,0,0,""img/obj3.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","76","222823","0.0-5.0-2.0-9.0","","","[[0,""img/obj10.png"",0,0,""img/obj2.png""],[0,0,""img/obj4.png"",""img/obj8.png"",0],[0,0,""img/obj7.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","77","225844","0.0-5.0-2.0-10.0","","","[[0,0,0,0,0],[0,0,0,""img/obj11.png"",""img/obj2.png""],[0,0,""img/obj12.png"",""img/obj8.png"",0],[0,0,""img/obj7.png"",""img/obj5.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","78","228848","0.0-5.0-2.0-11.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj1.png"",""img/obj2.png"",0],[0,0,""img/obj8.png"",""img/obj9.png"",0],[0,""img/obj7.png"",""img/obj3.png"",0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","79","231863","0.0-5.0-2.0-12.0","","","[[0,0,0,0,0],[0,""img/obj10.png"",""img/obj1.png"",0,0],[0,0,""img/obj4.png"",""img/obj9.png"",0],[0,0,""img/obj3.png"",""img/obj6.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","80","234880","0.0-5.0-2.0-13.0","","","[[0,""img/obj1.png"",0,0,0],[0,0,""img/obj9.png"",0,0],[0,""img/obj3.png"",""img/obj2.png"",0,0],[0,""img/obj8.png"",0,0,0],[""img/obj7.png"",0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","81","237892","0.0-5.0-2.0-14.0","","","[[0,0,0,""img/obj1.png"",0],[0,0,0,0,""img/obj9.png""],[0,0,0,""img/obj3.png"",""img/obj2.png""],[0,0,0,""img/obj8.png"",0],[0,0,""img/obj7.png"",0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","82","240906","0.0-5.0-2.0-15.0","","","[[0,0,0,0,0],[0,0,""img/obj10.png"",""img/obj11.png"",0],[0,0,""img/obj12.png"",""img/obj4.png"",0],[0,0,0,""img/obj5.png"",""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","83","243925","0.0-5.0-2.0-16.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj10.png"",""img/obj11.png"",0],[0,0,""img/obj12.png"",""img/obj4.png"",0],[0,0,0,""img/obj5.png"",""img/obj6.png""]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","84","246942","0.0-5.0-2.0-17.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj8.png"",0,0,0],[""img/obj7.png"",""img/obj11.png"",0,0,0],[""img/obj12.png"",0,0,0,0],[0,""img/obj5.png"",0,0,0]]","","","","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","85","249957","0.0-5.0-2.0-18.0","","","[[0,0,""img/obj10.png"",0,0],[0,0,0,""img/obj4.png"",0],[0,0,0,""img/obj1.png"",""img/obj6.png""],[0,0,0,0,""img/obj9.png""],[0,0,0,""img/obj3.png"",0]]","","","","","","","","","","","","","","","","",""
