"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","test_part","correct_response","test_number","test_vector","grid_shift","correct","randomID","subject","image_switchboard","scene_order"
"","null","html-keyboard-response","10","18905","0.0-3.0-1.0-1.0"," ","null","","","","","","","","","",""
"","null","html-keyboard-response","11","19908","0.0-4.0-0.0","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","null","","","","","","","","","",""
"","null","html-keyboard-response","12","20910","0.0-4.0-1.0","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","null","","","","","","","","","",""
"","1273","html-keyboard-response","13","22185","0.0-5.0","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","1","","","","","","","","","",""
"","","vsl-grid-scene-snap","14","24189","0.0-6.0-0.0-0.0-0.0","[[""img/obj6.png"",0,0],[""img/obj3.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","","vsl-grid-scene-snap","15","26190","0.0-6.0-0.0-0.0-1.0","[[""img/obj2.png"",0,0],[""img/obj11.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","1004","html-keyboard-response","16","27194","0.0-6.0-0.0-1.0","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","1","test","1","0","[1,1,1,1,1,1]","-3","true","","","",""
"","","vsl-grid-scene-snap","17","30198","0.0-6.0-1.0-0.0-0.0","[[0,0,0],[0,0,""img/obj10.png""],[0,0,""img/obj12.png""]]","","","","","","","","","","",""
"","","vsl-grid-scene-snap","18","32202","0.0-6.0-1.0-0.0-1.0","[[""img/obj6.png"",0,0],[""img/obj3.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","1178","html-keyboard-response","19","33381","0.0-6.0-1.0-1.0","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","1","test","2","1","[1,1,1,3,2,2]","-3","false","","","",""
"","","vsl-grid-scene-snap","20","36386","0.0-6.0-2.0-0.0-0.0","[[""img/obj6.png"",0,0],[""img/obj3.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","","vsl-grid-scene-snap","21","38389","0.0-6.0-2.0-0.0-1.0","[[0,""img/obj3.png"",""img/obj8.png""],[0,0,0],[0,0,0]]","","","","","","","","","","",""
"","598","html-keyboard-response","22","38988","0.0-6.0-2.0-1.0","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","1","test","1","2","[1,1,1,2,1,3]","-3","true","","","",""
"","2063","survey-text","23","42060","0.0-7.0","","{""Q0"":""ddd""}","","","","","","","","","",""
"","1255","survey-text","24","43317","0.0-8.0","","{""Q0"":""ddd""}","","","","","","","","","",""
"","1356","survey-text","25","44675","0.0-9.0","","{""Q0"":""ddd""}","","","","","","","","","",""
"","1340","survey-text","26","46017","0.0-10.0","","{""Q0"":""ddd""}","","","","","","","","","",""
"true","null","fullscreen","27","47020","0.0-11.0","","","","","","","","","","","",""
