"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","correct"
"","html-keyboard-response","13","23202","0.0-6.0","1934.7999999821186","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","","","32","","","",""
"","vsl-grid-scene-snap","14","25214","0.0-7.0-0.0-0.0-0.0","","[[0,0,0],[0,0,""img/obj8.png""],[0,0,""img/obj10.png""]]","","","","","","",""
"","vsl-grid-scene-snap","15","28221","0.0-7.0-0.0-0.0-1.0","","[[""img/obj5.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","",""
"","html-keyboard-response","16","30945","0.0-7.0-0.0-1.0","1722.4000000059605","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","50","test","2","1","true"
"","vsl-grid-scene-snap","17","33961","0.0-7.0-1.0-0.0-0.0","","[[""img/obj5.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","",""
"","vsl-grid-scene-snap","18","36973","0.0-7.0-1.0-0.0-1.0","","[[""img/obj4.png"",0,0],[""img/obj9.png"",0,0],[0,0,0]]","","","","","","",""
"","html-keyboard-response","19","38354","0.0-7.0-1.0-1.0","379.40000000596046","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","49","test","1","0","true"
"","survey-text","20","41671","0.0-8.0","2310.100000023842","","","{""Q0"":""a""}","","","","",""
"","survey-text","21","42537","0.0-9.0","864.5","","","{""Q0"":""aa""}","","","","",""
"","survey-text","22","43357","0.0-10.0","818.4000000059605","","","{""Q0"":""aaa""}","","","","",""
"","survey-text","23","44583","0.0-11.0","1224.7999999821186","","","{""Q0"":""aaaa""}","","","","",""
"true","fullscreen","24","45584","0.0-12.0","","","","","","","","",""
"","html-button-response","25","46338","0.0-13.0","753.2000000178814","<p style=""text-align: justify; margin-right: 15%; margin-left: 15%"">  This is the end of the experiment. <br><br>Thank you for your participation! <br><br>If you would like any additional information, please email the experimenter at Garber_Dominik@phd.ceu.edu <br><br>Please press the button bellow to be redirected to Prolific to collect your credits. <br>","0","","","","","",""
