"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","correct"
"","html-keyboard-response","10","24475","0.0-5.0-2.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>118","","","null","","","",""
"","html-keyboard-response","11","25485","0.0-5.0-3.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>117","","","null","","","",""
"","html-keyboard-response","12","26498","0.0-5.0-4.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>116","","","null","","","",""
"","html-keyboard-response","13","27961","0.0-6.0","1462.5999999940395","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","","","32","","","",""
"","vsl-grid-scene-snap","14","29967","0.0-7.0-0.0-0.0-0.0","","[[""img/obj8.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","",""
"","vsl-grid-scene-snap","15","32983","0.0-7.0-0.0-0.0-1.0","","[[""img/obj5.png"",0,0],[""img/obj3.png"",0,0],[0,0,0]]","","","","","","",""
"","html-keyboard-response","16","35450","0.0-7.0-0.0-1.0","1458.4000000059605","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","49","test","1","0","true"
"","vsl-grid-scene-snap","17","38458","0.0-7.0-1.0-0.0-0.0","","[[""img/obj8.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","",""
"","vsl-grid-scene-snap","18","41473","0.0-7.0-1.0-0.0-1.0","","[[0,0,0],[0,0,""img/obj4.png""],[0,0,""img/obj7.png""]]","","","","","","",""
"","html-keyboard-response","19","44282","0.0-7.0-1.0-1.0","1802.2000000178814","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","50","test","1","1","false"
"","survey-text","20","46912","0.0-8.0","1610.3999999761581","","","{""Q0"":""a""}","","","","",""
"","survey-text","21","48059","0.0-9.0","1145.199999988079","","","{""Q0"":""aa""}","","","","",""
"","survey-text","22","48993","0.0-10.0","932.2000000178814","","","{""Q0"":""aaa""}","","","","",""
"","survey-text","23","50319","0.0-11.0","1324.800000011921","","","{""Q0"":""aaaa""}","","","","",""
"true","fullscreen","24","51322","0.0-12.0","","","","","","","","",""
"","html-button-response","25","52660","0.0-13.0","1336.9000000059605","<p style=""text-align: justify; margin-right: 15%; margin-left: 15%"">  This is the end of the experiment. <br><br>Thank you for your participation! <br><br>If you would like any additional information, please email the experimenter at Garber_Dominik@phd.ceu.edu <br><br>Please press the button bellow to be redirected to Prolific to collect your credits. <br>","0","","","","","",""
