"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard","scene_order"
"vsl-grid-scene","10","15516","0.0-4.0-5.0-0.0-0.0","","1012",""," ","","","","","","","","","",""
"html-keyboard-response","11","16525","0.0-4.0-5.0-1.0","","null"," ","null","","","","","","","","","",""
"vsl-grid-scene-snap","12","18534","0.0-4.0-6.0-0.0","","","[[0,0,""img/obj3.png"",0,0],[0,""img/obj12.png"",""img/obj10.png"",0,0],[0,0,""img/obj9.png"",""img/obj5.png"",0],[0,0,0,0,""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene-snap","13","21559","0.0-4.0-6.0-1.0","","","[[0,""img/obj3.png"",0,0,0],[""img/obj12.png"",""img/obj10.png"",0,0,0],[0,""img/obj9.png"",""img/obj5.png"",0,0],[0,0,0,""img/obj6.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene","14","23005","0.0-4.0-7.0-0.0-0.0","","436",""," ","","","","","","","","","",""
"html-keyboard-response","15","24013","0.0-4.0-7.0-1.0","","null"," ","null","","","","","","","","","",""
"vsl-grid-scene","16","24572","0.0-4.0-9.0-0.0-0.0","","557",""," ","","","","","","","","","",""
"html-keyboard-response","17","25575","0.0-4.0-9.0-1.0","","null"," ","null","","","","","","","","","",""
"html-keyboard-response","18","26586","0.0-5.0-0.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","null","","","","","","","","","",""
"html-keyboard-response","19","27601","0.0-5.0-1.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","null","","","","","","","","","",""
"html-keyboard-response","20","28614","0.0-5.0-2.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>118","null","","","","","","","","","",""
"html-keyboard-response","21","29621","0.0-5.0-3.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>117","null","","","","","","","","","",""
"html-keyboard-response","22","30630","0.0-5.0-4.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>116","null","","","","","","","","","",""
"html-keyboard-response","23","35092","0.0-6.0","","4461","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>"," ","","","","","","","","","",""
"vsl-grid-scene-snap","24","37096","0.0-7.0-0.0-0.0-0.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj10.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene-snap","25","40110","0.0-7.0-0.0-0.0-1.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj9.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"html-keyboard-response","26","43139","0.0-7.0-0.0-1.0","","null","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","null","test","1","0","0","1","0","false","","",""
"vsl-grid-scene-snap","27","46149","0.0-7.0-1.0-0.0-0.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj1.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene-snap","28","49170","0.0-7.0-1.0-0.0-1.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj3.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"html-keyboard-response","29","52188","0.0-7.0-1.0-1.0","","null","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","null","test","1","1","1","1","0","false","","",""
"survey-text","30","59755","0.0-8.0","","6552","","{""Q0"":""a\n""}","","","","","","","","","",""
"survey-text","31","60402","0.0-9.0","","646","","{""Q0"":""aa""}","","","","","","","","","",""
"survey-text","32","61828","0.0-10.0","","1425","","{""Q0"":""aaa""}","","","","","","","","","",""
"survey-text","33","63185","0.0-11.0","","1355","","{""Q0"":""aaaa""}","","","","","","","","","",""
"fullscreen","34","64200","0.0-12.0","true","null","","","","","","","","","","","",""
"html-button-response","35","65503","0.0-13.0","","1302","<p style=""text-align: justify; margin-right: 15%; margin-left: 15%"">  This is the end of the experiment. <br><br>Thank you for your participation! <br><br>If you would like any additional information, please email the experimenter at szabo_beata-tunde@phd.ceu.edu <br><br>Please press the button bellow to be redirected to Prolific to collect your credits. <br>","0","test","","","","","","","5f5617ed36e91fa03cf1f021","[""img/obj10.png"",""img/obj5.png"",""img/obj6.png"",""img/obj2.png"",""img/obj1.png"",""img/obj8.png"",""img/obj7.png"",""img/obj4.png"",""img/obj11.png"",""img/obj3.png"",""img/obj12.png"",""img/obj9.png""]","[{""stimuli"":[[0,0,""img/obj3.png"",0,0],[0,""img/obj12.png"",""img/obj10.png"",0,0],[0,0,""img/obj9.png"",""img/obj5.png"",0],[0,0,0,0,""img/obj6.png""],[0,0,0,0,0]],""image_size"":[150,150],""line_px"":3,""post_trial_gap"":1000},{""stimuli"":[[0,""img/obj3.png"",0,0,0],[""img/obj12.png"",""img/obj10.png"",0,0,0],[0,""img/obj9.png"",""img/obj5.png"",0,0],[0,0,0,""img/obj6.png"",0],[0,0,0,0,0]],""image_size"":[150,150],""line_px"":3,""post_trial_gap"":1000}]"
